,Order,MSE
0,"(0, 2, 5)",490636813.0650642
0,"(1, 2, 7, 6)",491598849.20988345
0,"(0, 2, 7, 6)",494693369.4191196
0,"(1, 2, 4)",494871486.7409793
0,"(0, 2, 5, 8)",496298748.56347406
0,"(0, 2, 8, 5)",496308452.62709147
0,"(0, 2, 2, 9)",496352007.0607786
0,"(0, 2, 3, 7)",496835924.3116055
0,"(0, 2, 10, 11)",497966270.5050333
0,"(0, 2, 9, 5)",500062201.1900964
0,"(1, 2, 6)",500587747.6677924
0,"(1, 2, 1, 10)",502268424.53975904
0,"(0, 2, 6, 7)",503852887.93223053
0,"(1, 2, 5, 8)",504734894.3179358
0,"(1, 2, 10, 5)",504828814.3495847
0,"(0, 2, 2, 7)",507401278.80152404
0,"(0, 2, 11)",508139412.073089
0,"(1, 2, 7)",508571968.1437256
0,"(1, 2, 3)",509365650.14233553
0,"(0, 2, 6, 6)",510036313.52965975
0,"(1, 2, 6, 7)",510417978.4426491
0,"(0, 2, 4, 8)",511444865.3549293
0,"(1, 1, 8, 5)",512108273.3276966
0,"(0, 1, 8, 5)",513160551.7087484
0,"(0, 2, 4, 7)",513347588.2269654
0,"(0, 2, 3, 6)",515093164.4458033
0,"(0, 2, 5, 7)",516297087.9352859
0,"(1, 2, 4, 8)",516837231.73045236
0,"(1, 2, 4, 6)",516992487.5312272
0,"(1, 2, 3, 8)",519075797.58806354
0,"(1, 1, 11, 5)",519278319.68111116
0,"(1, 1, 7, 5)",519377634.05137575
0,"(0, 1, 7, 5)",519652950.5901658
0,"(0, 1, 6, 5)",519896092.624615
0,"(1, 1, 6, 5)",520113399.31081784
0,"(0, 2, 4, 6)",522906043.40284204
0,"(1, 1, 5, 5)",523300845.6226567
0,"(0, 1, 5, 5)",523353787.21017855
0,"(0, 1, 4, 5)",523363536.35376996
0,"(1, 1, 4, 5)",523399657.2598694
0,"(1, 2, 1, 9)",523655615.8846169
0,"(1, 1, 3, 5)",523720244.5729452
0,"(1, 2, 8, 6)",523748499.8573005
0,"(0, 1, 3, 5)",523905781.6950925
0,"(1, 1, 2, 5)",524038881.47379875
0,"(1, 2, 4, 7)",524836085.1621339
0,"(0, 2, 3, 5)",525595366.6277665
0,"(0, 1, 2, 5)",525738967.37239456
0,"(0, 1, 9, 5)",526476798.54636824
0,"(1, 2, 2)",526596998.8908145
0,"(1, 1, 1, 5)",526645186.9356767
0,"(1, 1, 0, 5)",527395298.0448777
0,"(0, 1, 1, 5)",527680502.891864
0,"(1, 2, 9, 6)",527965167.02833253
0,"(0, 2, 6, 8)",529299039.74466693
0,"(1, 2, 11, 5)",529552674.188737
0,"(0, 2, 8, 6)",529622024.75816804
0,"(0, 1, 5, 6)",529949978.16911876
0,"(1, 1, 11, 6)",530042582.98324704
0,"(1, 1, 5, 6)",530248128.5476208
0,"(0, 1, 11, 6)",530249536.94346136
0,"(0, 1, 6, 6)",530395432.7313538
0,"(1, 1, 6, 6)",530655992.2288291
0,"(1, 2, 3, 7)",530726341.2240181
0,"(0, 1, 11, 5)",531114744.3113405
0,"(0, 1, 0, 5)",531389458.4036481
0,"(1, 2, 7, 7)",531579514.5500504
0,"(2, 0, 0)",531606141.5727392
0,"(0, 2, 10, 5)",531967311.3457533
0,"(1, 1, 10, 6)",533337494.79503757
0,"(0, 1, 1, 6)",533428877.6458783
0,"(0, 2, 7, 7)",533451852.41795874
0,"(1, 1, 0, 6)",533479231.6493845
0,"(1, 1, 2, 6)",533497599.5245807
0,"(1, 1, 3, 6)",533503901.3197062
0,"(0, 1, 2, 6)",533509051.3890263
0,"(0, 1, 3, 6)",533511715.81286055
0,"(1, 1, 4, 6)",533546250.858011
0,"(0, 1, 4, 6)",533562640.5768942
0,"(1, 1, 1, 6)",533582383.17418724
0,"(0, 2, 4, 5)",534764765.60002536
0,"(1, 2, 6, 8)",535640578.5539141
0,"(0, 1, 10, 6)",535703903.1441795
0,"(0, 1, 7, 6)",535802899.666764
0,"(0, 2, 7, 5)",536321708.0073497
0,"(1, 1, 10, 5)",538098326.598313
0,"(0, 2, 5, 5)",539290842.8605299
0,"(0, 1, 0, 6)",540210504.764591
0,"(0, 1, 9, 7)",540277676.0287411
0,"(1, 2, 2, 7)",540843376.7228123
0,"(1, 1, 10, 7)",541399647.9082696
0,"(1, 1, 9, 7)",541973249.9256084
0,"(1, 2, 2, 8)",542014105.4714991
0,"(1, 2, 5, 7)",542468611.3153725
0,"(1, 1, 9, 5)",543738241.6157914
0,"(0, 1, 10, 5)",544539103.0153986
0,"(0, 2, 5, 6)",545046428.7848666
0,"(1, 1, 5, 7)",545091517.4364195
0,"(0, 1, 5, 7)",545228281.7740663
0,"(0, 1, 4, 7)",545636247.2633864
0,"(1, 1, 5, 8)",545661857.6346711
0,"(1, 1, 4, 7)",545714068.846351
0,"(1, 1, 3, 7)",545852767.0456793
0,"(1, 1, 2, 7)",545869526.2966081
0,"(1, 1, 1, 7)",545877250.3290013
0,"(0, 1, 3, 7)",546004119.4840347
0,"(0, 1, 2, 7)",546543552.5292553
0,"(1, 1, 4, 8)",547363478.731117
