,Order,MSE
0,"(0, 0, 9, 10)",7933082333.931938
0,"(0, 0, 8, 11)",7947245596.7838955
0,"(0, 0, 7, 12)",7970404467.611653
0,"(0, 0, 7, 11)",7993508607.452959
0,"(0, 0, 8, 10)",8007218647.942645
0,"(0, 0, 9, 8)",8007772292.811768
0,"(0, 0, 11, 7)",8033074203.379329
0,"(0, 0, 11, 5)",8057039001.421325
0,"(0, 0, 6, 12)",8072742280.123755
0,"(0, 0, 8, 9)",8084549122.749633
0,"(0, 0, 9, 7)",8098000786.663399
0,"(0, 0, 7, 10)",8122518767.203644
0,"(0, 0, 8, 8)",8140955199.739771
0,"(0, 0, 8, 7)",8154916206.414468
0,"(0, 0, 6, 11)",8157054304.391466
0,"(0, 0, 11, 6)",8160523582.646607
0,"(0, 0, 9, 6)",8169271832.765272
0,"(0, 0, 10, 6)",8177167038.174322
0,"(0, 0, 6, 10)",8195464998.666004
0,"(0, 0, 5, 12)",8195539651.341135
0,"(0, 0, 6, 9)",8210729836.419289
0,"(0, 0, 7, 8)",8215033868.448598
0,"(0, 0, 8, 5)",8220018712.01085
0,"(0, 0, 5, 11)",8222650075.933312
0,"(0, 0, 8, 6)",8233209110.293504
0,"(0, 0, 6, 8)",8248236514.752515
0,"(0, 0, 10, 5)",8254840161.650265
0,"(0, 0, 7, 9)",8262771544.699034
0,"(0, 0, 5, 10)",8265377557.05575
0,"(0, 0, 5, 9)",8273029495.592029
0,"(0, 0, 4, 12)",8276203782.344393
0,"(0, 0, 7, 6)",8291571526.942853
0,"(0, 0, 9, 5)",8291583832.728198
0,"(0, 0, 5, 8)",8299179855.650461
0,"(0, 0, 4, 11)",8301048383.5702715
0,"(0, 0, 4, 9)",8303917319.169944
0,"(0, 0, 6, 6)",8309810549.594095
0,"(0, 0, 4, 10)",8318790084.03133
0,"(0, 0, 7, 7)",8328899188.216717
0,"(0, 0, 6, 5)",8334614987.36623
0,"(0, 0, 3, 12)",8337695731.234498
0,"(0, 0, 9, 9)",8337896072.86427
0,"(0, 0, 5, 7)",8348577595.643389
0,"(0, 0, 3, 11)",8351331557.147499
0,"(0, 0, 4, 8)",8377930771.634092
0,"(0, 0, 7, 5)",8378901034.613276
0,"(0, 0, 3, 8)",8394915539.036121
0,"(0, 0, 3, 10)",8403499746.780228
0,"(0, 0, 5, 5)",8407676522.387719
0,"(0, 0, 6, 7)",8412290160.507581
0,"(0, 0, 3, 9)",8421737207.976371
0,"(0, 0, 5, 6)",8427160652.528593
0,"(0, 0, 4, 7)",8442302638.700397
0,"(0, 0, 4, 6)",8447662702.573965
0,"(0, 0, 2, 12)",8448114279.9236765
0,"(0, 0, 3, 7)",8466460576.591808
0,"(0, 0, 2, 11)",8467480911.294552
0,"(0, 0, 4, 5)",8468087906.84311
0,"(0, 0, 2, 10)",8478459873.643876
0,"(1, 2, 0)",8484786369.851714
0,"(0, 0, 3, 6)",8485418046.973836
0,"(0, 0, 2, 9)",8492592686.447327
0,"(0, 0, 2, 7)",8500447576.838589
0,"(0, 0, 3, 5)",8509878711.057126
0,"(0, 0, 2, 8)",8519724287.064006
0,"(0, 0, 1, 12)",8529200267.814213
0,"(0, 0, 2, 6)",8531250318.346012
0,"(0, 0, 1, 11)",8537967527.383507
0,"(0, 0, 2, 5)",8551999524.194026
0,"(0, 0, 11)",8554497500.138367
0,"(0, 0, 1, 8)",8557184628.290564
0,"(0, 0, 1, 7)",8562483665.85519
0,"(0, 0, 8)",8570475901.6675205
0,"(0, 0, 1, 10)",8572452899.040842
0,"(0, 0, 1, 9)",8574174300.99915
0,"(0, 0, 10)",8575354573.129222
0,"(0, 0, 9)",8575683052.232518
0,"(0, 0, 1, 6)",8581243876.808183
0,"(0, 0, 6)",8585064384.879497
0,"(0, 0, 1, 5)",8597744416.286802
0,"(0, 0, 7)",8598356580.386183
0,"(0, 0, 5)",8614290765.541985
0,"(0, 0, 4)",8618535198.291622
0,"(0, 0, 3)",8619351199.063032
0,"(0, 0, 2)",8630925852.05167
0,"(0, 0, 1)",8639622261.163464
0,"(0, 0, 0, 12)",8651349259.088186
0,"(0, 0, 0, 11)",8651349259.088186
0,"(0, 0, 0, 10)",8651349259.088186
0,"(0, 0, 0, 9)",8651349259.088186
0,"(0, 0, 0, 8)",8651349259.088186
0,"(0, 0, 0, 7)",8651349259.088186
0,"(0, 0, 0, 6)",8651349259.088186
0,"(0, 0, 0, 5)",8651349259.088186
0,"(0, 0, 0)",8651349259.088186
0,"(1, 2, 0, 12)",8998464451.230583
0,"(0, 2, 0, 12)",10107367338.755733
0,"(1, 2, 0, 9)",10875741814.50092
0,"(1, 2, 0, 11)",12507349006.148664
0,"(1, 2, 0, 7)",12549911826.04575
0,"(1, 2, 0, 10)",12636084528.579355
0,"(1, 2, 0, 6)",12785548484.592785
0,"(1, 2, 0, 8)",13939910743.65164
0,"(0, 2, 0, 11)",15363656175.198954
0,"(1, 2, 0, 5)",17221108965.315754
0,"(0, 2, 2)",17239477719.175938
0,"(0, 2, 0, 10)",18748585087.51295
0,"(0, 2, 0, 9)",19435217408.07993
0,"(0, 2, 0, 7)",21971424505.413086
0,"(0, 2, 0, 6)",24564729656.5732
0,"(0, 2, 0, 8)",24591321465.647327
0,"(0, 2, 1)",26798038773.92498
0,"(0, 2, 0, 5)",28081892471.17577
