,Order,MSE
0,"(1, 1, 9)",781980154.2691189
0,"(0, 2, 9)",784530574.3258957
0,"(1, 2, 10)",788319404.7960615
0,"(3, 1, 11, 9)",794183933.1907107
0,"(0, 1, 11, 9)",794313512.4877989
0,"(3, 1, 9, 8)",794463027.8172878
0,"(2, 1, 10, 9)",796965363.9908097
0,"(1, 1, 10, 9)",798947671.286257
0,"(1, 1, 11, 9)",799080720.935871
0,"(0, 2, 2, 6)",800604023.7971401
0,"(2, 1, 11, 9)",802610531.5314323
0,"(2, 2, 7, 6)",803146794.0515186
0,"(0, 1, 11)",804965308.0404384
0,"(0, 2, 11)",806779625.0907028
0,"(0, 2, 11, 7)",816432328.5228312
0,"(2, 2, 4, 6)",818410137.0889877
0,"(3, 1, 11, 6)",828393385.8604757
0,"(3, 1, 5, 5)",831106889.991168
0,"(1, 2, 11)",831467811.0834827
0,"(2, 2, 6, 6)",832408011.7966216
0,"(1, 1, 4, 5)",836621547.6256723
0,"(2, 2, 10, 6)",840695199.9614903
0,"(1, 1, 11)",841567139.6611031
0,"(2, 1, 5, 5)",843556383.5090921
0,"(1, 2, 11, 6)",845619355.5880817
0,"(3, 1, 10, 8)",854399669.22304
0,"(2, 1, 11)",861017522.5148104
0,"(2, 1, 9, 8)",864877746.502272
0,"(1, 2, 10, 7)",866060851.4326243
0,"(2, 1, 3, 5)",868376803.3013493
0,"(0, 1, 8, 9)",872372227.4543467
0,"(0, 2, 11, 6)",873430226.5138401
0,"(2, 1, 8, 8)",875631898.6150917
0,"(3, 1, 3, 5)",876476819.5035012
0,"(2, 2, 2, 7)",877136162.9672741
0,"(3, 1, 4, 5)",883789796.6741203
0,"(3, 1, 2, 5)",886130466.6340681
0,"(1, 1, 11, 8)",887354272.2968259
0,"(2, 2, 5, 6)",892397132.2502259
0,"(2, 1, 11, 8)",893492546.3527442
0,"(0, 1, 10, 9)",902985307.1345925
0,"(2, 1, 4, 5)",904612234.4192106
0,"(2, 2, 6, 7)",909787750.7217367
0,"(1, 2, 6, 6)",909995982.7228702
0,"(2, 2, 6, 10)",912548833.0505949
0,"(1, 2, 1, 7)",915057384.1428419
0,"(3, 1, 11)",917687349.2988971
0,"(2, 1, 8, 10)",920204686.0496157
0,"(1, 2, 1, 5)",924238737.805223
0,"(2, 2, 11, 7)",930351532.9833561
0,"(1, 1, 9, 10)",933703613.7619773
0,"(2, 2, 10, 7)",934556882.2870817
0,"(0, 2, 3, 6)",947406006.3880398
0,"(3, 1, 1, 5)",952159382.4850937
0,"(0, 1, 9, 8)",958882639.9856603
0,"(3, 1, 9, 10)",963097692.241465
0,"(3, 1, 10, 10)",970052504.0341209
0,"(1, 1, 8, 8)",970798138.5002012
0,"(3, 1, 11, 10)",976944653.9784607
0,"(2, 1, 11, 10)",977326830.8388364
0,"(1, 2, 11, 7)",981924517.3900028
0,"(3, 1, 11, 5)",983253455.3872657
0,"(3, 1, 7, 10)",988561048.8369735
