date,close,high,low,open,volume,sma5,sma10,sma15,sma20,ema5,ema10,ema15,ema20,upperband,middleband,lowerband,HT_TRENDLINE,KAMA10,KAMA20,KAMA30,SAR,TRIMA5,TRIMA10,TRIMA20,ADX5,ADX10,ADX20,APO,CCI5,CCI10,CCI15,macd510,macd520,macd1020,macd1520,macd1226,MFI,MOM10,MOM15,MOM20,ROC5,ROC10,ROC20,PPO,RSI14,RSI8,slowk,slowd,fastk,fastd,fastksr,fastdsr,ULTOSC,WILLR,ATR,Trange,TYPPRICE,HT_DCPERIOD,BETA
2015-12-01,119817.76869043199,119859.7539522218,119776.39981309569,119818.18993439783,760230.4259190494,119818.45078796845,119818.7670106452,119818.77421883873,119818.72411003824,119818.31850775052,119818.54631502449,119818.57885796743,119818.54324941683,119924.32009684882,119818.45078796845,119712.58147908808,119818.6735306717,119817.87144115787,119817.94907069328,119818.06602125055,129835.93939101374,119818.47200098773,119818.87957973167,119818.85796432036,3930.616809509828,2832.4146416874123,2078.9626073549066,0.1999375324755696,-117.83098235744501,-173.85417472651756,-202.5273661592752,-0.22780727397381048,-0.22474166630776019,0.003065607666050365,0.03560855060520955,0.09441498295703,4243.894171183919,-1.1785146676568867,-0.9308503527664327,-0.6143804926352303,-0.032307421813051865,0.03868120592685666,0.16139136580360278,0.06135550331353001,4385.891608406394,4379.154719065273,4304.682035232951,4306.343623477412,4302.886145836759,4304.682035232951,4331.266230010754,4332.93659329365,4356.352086925655,-4405.367123474047,87.85313319069978,86.15581755167739,119817.97415191648,1817.6237443613966,26.764495840027326
2016-01-01,115016.35801332911,115074.35964455726,114959.48167565854,115017.04509362107,1017276.7788003809,115018.90775531568,115022.19256426564,115025.62220998584,115028.90213130742,115018.97024518439,115022.23660978377,115025.4692414744,115028.63939242138,115165.17170419706,115018.90775531568,114872.64380643432,115032.37242763855,115025.89817734044,115033.2134673127,115035.33013477952,130398.10524754046,115018.92301247461,115022.1341160156,115028.9412577571,3832.3156410369515,2781.5647085016763,2061.7259796337103,-9.117870150520758,-149.89483240405835,-239.6402259806395,-307.8721028714354,-3.2663645993748864,-9.669147236982361,-6.402782637607475,-3.1701509469737337,-8.846220472232572,4201.296017063136,-13.318111710568074,-19.964990479212947,-25.900225325293555,-0.5013634517031432,-1.024654948740315,-1.9121422410612536,-0.7157536677885412,4347.905813433957,4347.092622026467,4297.411080039836,4297.566035764599,4296.996271380464,4297.411080039836,4356.864591582114,4356.906938520755,4355.042700308014,-4481.519534341508,121.27685594777755,117.98746112345307,115016.73311118165,1854.117282889755,30.32104473594691
2016-02-01,110268.79380585515,110330.2925577812,110208.3910336415,110269.89339496661,1171496.4607087828,110270.77964149987,110273.04596122277,110275.38963858888,110277.67818258851,110270.7467361579,110273.05066064725,110275.29988669293,110277.47876104774,110422.59018859446,110270.77964149987,110118.96909440527,110280.3769917615,110275.60672324433,110278.7069854053,110280.38314085713,130753.33647021058,110270.81010209824,110273.04887033685,110277.6956276892,3795.1101238980077,2737.3880229222823,2005.7104509163944,-6.362622475713752,-97.57673737161953,-215.6554707120705,-304.5327424369753,-2.303924489333531,-6.732024889824407,-4.428100400490877,-2.1788743548033165,-6.043077769174583,4202.0854167872885,-9.387672059578842,-14.040835901386746,-18.252734976887517,-0.41322906092349837,-0.8016850284665825,-1.6077859495407543,-0.6169515824081241,4344.193025334252,4345.960502531487,4301.137573918986,4301.443743900982,4300.995508380458,4301.137573918986,4386.006876570741,4386.16532993113,4316.4787729276895,-4447.74834742337,127.9530158092946,124.95829096045217,110269.15913242596,1850.2328141452178,32.506729260709335
2016-03-01,115318.71888213442,115372.51660249915,115264.01327929753,115317.3588534279,1095242.4853090171,115315.56508409348,115310.61334143912,115305.55172452958,115300.4228847517,115315.37964532632,115310.46686339116,115305.37400319849,115300.21208545567,115451.7179063913,115315.56508409348,115179.41226179565,115293.25306343066,115313.75759557275,115311.1655585282,115306.83723260286,132073.3415518406,115315.65068586424,115310.71851782761,115300.5142588773,3842.015802057485,2756.2485272283943,2016.3846292438823,14.44719979457521,44.022385255388414,70.91639150454382,113.8145584233591,4.912781935137566,15.16755987063852,10.254777935500956,5.161917742813245,14.457091745902368,4346.7878817089695,19.223736913205002,29.411018237082068,40.139012158054705,0.599054390783411,1.311676404333247,2.782436659378265,0.9767525573284301,4451.1337174358805,4444.139196541474,4393.786514499983,4395.28707988161,4391.22171336932,4393.786514499983,4373.842525713114,4377.540682984707,4389.8009060831755,-4305.256936151384,113.82382624101571,111.18817629179355,115318.41625464369,1837.6277396228804,29.909389300503534
2016-04-01,122458.6984238074,122509.49963062658,122407.4660026918,122458.57906684613,1059991.0553312397,122458.6953524751,122458.23429774227,122457.65497293211,122457.07595304312,122458.59318834492,122458.13468877082,122457.58727614755,122457.00606641224,122590.296752621,122458.6953524751,122327.0939523292,122456.45170788106,122459.9111958702,122463.97349480724,122464.8201867795,131230.65487961718,122458.73284345971,122458.2845542336,122457.12411509996,3833.3659108629704,2735.6531931606028,1982.6739548655378,1.6872259423826597,-85.71204646520805,-127.97796047216204,-136.1187034831396,0.4584995741143701,1.5871219326781822,1.1286223585638124,0.5812097353009497,1.6446632482563457,4287.937706341065,1.6314251532824862,2.932818902347838,4.096995663227158,0.20747864954922932,0.46733961561220905,0.9692627809524904,0.32917699061589806,4399.60253027945,4391.268328748278,4327.746350282627,4328.535743497269,4326.346235661505,4327.746350282627,4348.749679651077,4350.615034042079,4371.530224149851,-4393.0421468733375,106.81653351920872,104.62028861971008,122458.55468570859,1841.5164861042883,28.818456702579905
2016-05-01,125096.24651321728,125146.58677498388,125044.52904577692,125095.77674274662,949182.8720825274,125095.06004616387,125093.55545506162,125091.86659299333,125089.98813584777,125095.04050293703,125093.38150443356,125091.50712909632,125089.47466937153,125224.12070418871,125095.06004616387,124965.99938813905,125085.85885472783,125094.15550317183,125094.73938218798,125092.37081843319,130610.79537717604,125095.06833482122,125093.55396684095,125090.15894891578,3839.129613436509,2768.997120162879,2033.4398741793052,5.443540156941236,-17.787986105228885,-17.251851865019095,-26.926598364274486,1.6589985034857502,5.565833565512597,3.906835062026847,2.0324597248013405,5.758383055132767,4291.537746688034,6.190995486782726,10.209507414571249,14.629890393294652,0.09560186627369754,0.20882900617621175,0.5378494749821313,0.18050284453839985,4408.82567043613,4404.571833586587,4361.578389203209,4362.2119942908,4360.775402045836,4361.578389203209,4359.786938234201,4360.5214868519315,4384.568415141303,-4365.578213753773,106.99622325406206,104.60260219213431,125095.78744465936,1827.4766645905606,29.018752861155512
2016-06-01,131017.26760832626,131064.02676720475,130970.39752478052,131017.23353724157,926087.5869442085,131016.80348116696,131015.36930062358,131013.73978381895,131012.12831563289,131016.66194271954,131015.23641661352,131013.71980889699,131012.20146909161,131137.13544125,131016.80348116696,130896.47152108395,131009.48973541637,131016.14894690018,131015.76594811867,131015.60264987567,130251.56330076467,131016.89990504172,131015.44479653539,131012.18704001451,3856.9900326629595,2767.5349399080596,2021.1229715264499,4.477759079914861,19.497169941502836,21.393484932607457,41.225415439102775,1.4255261060204438,4.4604736279268815,3.034947521906437,1.5183398053772308,4.243692935504365,4332.70663184951,5.369058340413484,8.759736618521668,11.745802888700085,0.2437561001853601,0.5625151004751876,1.2087641203719555,0.4229256219080068,4435.174165290025,4426.9943342370025,4360.098370134368,4361.401731759387,4357.359142553273,4360.098370134368,4361.069042782006,4364.5672630459085,4364.516155065222,-4344.7882060899765,98.23032281163817,96.50832766921569,131017.23063343718,1827.6488556863658,28.40670330792547
2016-07-01,139680.91275467636,139728.71968779436,139631.7541918988,139680.67747544072,1051316.9235634503,139679.4291150583,139676.89271968827,139673.96708141503,139670.88666861792,139679.2744954127,139676.60523531554,139673.69451197633,139670.70745598714,139803.45853372134,139679.4291150583,139555.39969639527,139666.41273145872,139675.30409706433,139672.42869101817,139668.28597764045,129832.63321087339,139679.46944703828,139677.02181725253,139671.10063577702,3860.17415011074,2776.010724113522,2031.292398362074,8.668862001486833,-75.60698909776164,-130.90250742080156,-132.97165339976215,2.669260097169757,8.56703942558065,5.897779328410893,2.9870559891790567,8.365470262144022,4288.466019889246,10.257588480689003,16.6075817521195,23.337447180729377,0.22560769309029338,0.5965461920856453,1.4275718142088,0.5189053076489303,4414.076354339199,4403.598174876258,4416.005727931475,4417.192007635194,4414.370619915187,4416.005727931475,4363.857981572283,4365.509142193585,4431.414573450631,-4332.263249241103,101.76952546108402,99.8083097833403,139680.4622114565,1840.6656706849906,29.69589636731187
2016-08-01,144941.31680073385,144998.14000141123,144885.15850832628,144941.9543282529,1016226.4435506633,144942.1355977979,144942.5310729612,144942.7738926515,144942.9481583404,144942.009362878,144942.3817257627,144942.57058056456,144942.64430126286,145086.14732086725,144942.1355977979,144798.12387472857,144941.35361228854,144945.37654276128,144952.18441540052,144953.75984263737,127273.36342647477,144942.1627734332,144942.62362668436,144943.04320169525,3795.4266263072464,2736.4836732712292,2013.2423695969806,-0.39261245435263975,-154.17426737151487,-262.2213731616967,-328.2063056320238,-0.37236288469885714,-0.634938384847797,-0.26257550014893977,-0.07372069828936255,-0.14517118327606146,4242.512328242077,-1.81481653965566,-2.1178196443691752,-2.0548475867908564,-0.10053267658549198,-0.0902439347076513,-0.05776884243246601,-0.016499130643974055,4370.795050380193,4363.674704880955,4341.920309989851,4342.976176267305,4339.634748968905,4341.920309989851,4361.576139287229,4364.432157773595,4369.106581232613,-4438.9859907180235,117.49882199810632,115.71378492802738,144941.5384368238,1837.3422493628295,31.627453705605625
2016-09-01,146805.86174365206,146862.6285291734,146750.47879254457,146807.21476904379,1018592.8843868179,146807.2653184759,146808.5427929502,146809.54724698287,146810.52850445703,146807.12944069403,146808.34815858185,146809.4050896274,146810.4109250068,146951.3654457182,146807.2653184759,146663.16519123357,146812.5323967216,146807.958276616,146810.8671005967,146811.40223986853,127144.86000000004,146807.26587672762,146808.666448076,146810.62901565517,3806.3564779465974,2737.9466066186415,2002.6823653841645,-2.6739056668108416,-143.88289218891452,-207.83108901405015,-242.9550325898299,-1.218717887781465,-3.2814843127755298,-2.0627664249940643,-1.0058353794358266,-2.8129627143917895,4242.7107614175,-4.941439762290653,-6.881966504592113,-8.647601296596436,-0.2024788709079755,-0.3019824859789896,-0.49163650651738283,-0.17383374090165785,4377.412438684751,4370.904974653715,4329.914691077858,4331.113123065212,4328.932933938446,4329.914691077858,4336.3229431886,4337.151120130504,4357.515655015519,-4431.966111617142,117.63333592539537,115.09108589951397,146806.32302179004,1828.412192348285,30.901272298460256
